,,#,Player,Pos.,DOB,Age,HT,WT,School,"Orig.
Team","Draft
Status",,"NFL
Exp.",,
,,3,"Banks, Deonte",CB,03/03/2001,23,"6' 00""",200,Maryland,NYG,23 01 024,,2,,
,,55,"Basham, Boogie",OLB,12/16/1997,26,"6' 03""",274,Wake Forest,BUF,21 02 061,,4,,
,,82,"Bellinger, Daniel",TE,09/22/2000,23,"6' 05""",255,San Diego State,NYG,22 04 112,,3,,
,,24,"Belton, Dane",S,12/07/2000,23,"6' 01""",190,Iowa,NYG,22 04 114,,3,,
,,36,"Bolton, Curtis",ILB,12/18/1995,28,"6' 00""",228,Oklahoma,GB FA,19 CFA,,4,,
,,0,"Burns, Brian",OLB,04/23/1998,26,"6' 05""",250,Florida State,CAR,19 01 016,,6,,
,,94,"Chatman, Elijah",DE,12/05/2000,23,"5' 11""",278,SMU,NYG FA,24 CFA,,R,,
,,52,"Coughlin, Carter",ILB,07/21/1997,27,"6' 03""",240,Minnesota,NYG,20 07 218,,5,,
,,98,"Davidson, D.J.",DT,12/16/1999,24,"6' 04""",320,Arizona State,NYG,22 05 147,,3,,
,,15,"DeVito, Tommy",QB,08/07/1998,26,"6' 01""",210,Illinois,NYG FA,23 CFA,,2,,
,,72,"Eluemunor, Jermaine",OG/OT,12/13/1994,29,"6' 04""",338,Texas A&M,BAL,17 05 159,,8,,
,,75,"Ezeudu, Joshua",OG/OT,09/19/1999,24,"6' 04""",310,North Carolina,NYG,22 03 067,,3,,
,,28,"Flott, Cor'Dale",CB,08/24/2001,23,"6' 01""",175,LSU,NYG,22 03 081,,3,,
,,88,"Ford-Wheaton, Bryce",WR,03/09/2000,24,"6' 03""",220,West Virginia,NYG FA,23 CFA,,2,,
,,9,"Gano, Graham",PK,04/09/1987,37,"6' 02""",202,Florida State,BAL FA,09 CFA,,15,,
,,6,"Gillan, Jamie",PT,07/04/1997,27,"6' 01""",207,Arkansas-Pine Bluff,CLE FA,19 CFA,,6,,
,,20,"Gray, Eric",RB,11/04/1999,24,"5' 09""",211,Oklahoma,NYG,23 05 172,,2,,
,,37,"Hawkins III, Tre",CB,08/01/2000,24,"6' 02""",195,Old Dominion,NYG,23 06 209,,2,,
,,13,"Hyatt, Jalin",WR,09/25/2001,22,"6' 00""",185,Tennessee,NYG,23 03 073,,2,,
,,"21
Log","Jackson, Adoree'
In",CB,09/18/1995,28,"5' 10""",185,USC,TEN,17 01 018,,8,,
,,84,"Johnson, Theo",TE,02/26/2001,23,"6' 06""",264,Penn State,NYG,24 04 107,,R,,
,,23,"Johnson Jr., Anthony",S,12/02/1999,24,"6' 00""",205,Iowa State,GB,23,07 242,2,,
,"Star Wars Outlaws - Limited Edition (Amazon Exclu
8 Jones, Daniel QB 05/27/1997 27 6' 05"" 230 Duke NYG 19
$6999
59 Kreiter, Casey LS 08/13/1990 34 6' 01"" 250 Iowa DAL FA 14",8,"Jones, Daniel",QB,"S
05/27/1997
$","tar W
27
99","ars O
6' 05""","utlaw
230","s - Limited Edition (
Duke","Amazon E
NYG","xclu
19","sive), P
01 006","lay…
6",,
,,59,"Kreiter, Casey",LS,08/13/1990,"69
34","6' 01""",250,Iowa,DAL FA,14,CFA,9,,
#,Player,Pos.,DOB,Age,HT,WT,School,"Orig.
Team","Draft
Status","NFL
Exp."
63,"Kubas, Jake",OG,08/13/2000,24,"6' 04""",308,North Dakota State,NYG FA,24 CFA,R
97,"Lawrence II, Dexter",DT,11/12/1997,26,"6' 04""",340,Clemson,NYG,19 01 017,6
2,"Lock, Drew",QB,11/10/1996,27,"6' 04""",228,Missouri,DEN,19 02 042,6
85,"Manhertz, Chris",TE,04/10/1992,32,"6' 05""",235,Canisius,BUF FA,14 SFA,9
44,"McCloud, Nick",CB,07/09/1998,26,"6' 01""",193,Notre Dame,BUF FA,21 CFA,4
41,"McFadden, Micah",ILB,01/03/2000,24,"6' 01""",232,Indiana,NYG,22 05 146,3
53,"Muasau, Darius",ILB,02/10/2001,23,"6' 00""",234,UCLA,NYG,24 06 183,R
1,"Nabers, Malik",WR,07/28/2003,21,"6' 00""",200,LSU,NYG,24 01 006,R
73,"Neal, Evan",OT,09/19/2000,23,"6' 07""",340,Alabama,NYG,22 01 007,3
31,"Nubin, Tyler",S,06/14/2001,23,"6' 01""",210,Minnesota,NYG,24 02 047,R
93,"Nuñez-Roches, Rakeem",DT,07/03/1993,31,"6' 02""",305,Southern Miss,KC,15 06 217,10
51,"Ojulari, Azeez",OLB,06/16/2000,24,"6' 03""",240,Georgia,NYG,21 02 050,4
58,"Okereke, Bobby",ILB,07/29/1996,28,"6' 01""",235,Stanford,IND,19 03 089,6
80,"Olszewski, Gunner",WR,11/26/1996,27,"6' 00""",190,Bemidji State,NE FA,19 CFA,6
22,"Phillips, Dru",CB,11/30/2001,22,"5' 11""",180,Kentucky,NYG,24 03 070,R
27,"Pinnock, Jason",S,06/30/1999,25,"6' 00""",200,Pittsburgh,NYJ,21 05 175,4
95,"Riley, Jordon",DT,05/19/1998,26,"6' 05""",315,Oregon,NYG,23 07 243,2
