,,,,,,,,,,,,,
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
25,Israel Abanikanda,22,RB,,,216,5-10,Pittsburgh,10/5/2002,1,,New York Jets / 5th / 143rd pick / 2023,AbanIs00
22,Tony Adams,25,S,,,203,5-11,Illinois,1/24/1999,2,,,AdamTo03
,Braelon Allen,20,RB,,,235,,Wisconsin,1/20/2004,Rook,,New York Jets / 4th / 134th pick / 2024,AlleBr05
53,Zaire Barnes,25,LB,,,227,6-1,Western Michigan,9/3/1999,1,,New York Jets / 6th / 184th pick / 2023,BarnZa00
84,Brenden Bates,25,TE,,,255,6-5,Kentucky,10/17/1999,Rook,,,BateBr00
29,Jarrick Bernard-Converse,24,CB,,,205,,Oklahoma St.LSU,4/29/2000,1,,New York Jets / 6th / 204th pick / 2023,BernJa01
30,Michael Carter II,25,CB,,,184,5-10,Duke,3/8/1999,3,,New York Jets / 5th / 154th pick / 2021,CartMi02
19,Irvin Charles,27,WR,,,219,6-4,Penn St.Indiana (PA),4/13/1997,1,,,CharIr00
36,Chuck Clark,29,S,,,209,6-0,Virginia Tech,4/19/1995,7,,Baltimore Ravens / 6th / 186th pick / 2017,ClarCh00
72,Micheal Clemons,27,DL,,,263,6-5,Cisco (TX)Texas A&M,8/21/1997,2,,New York Jets / 4th / 117th pick / 2022,ClemMi03
83,Tyler Conklin,29,TE,,,248,6-3,Central Michigan,7/30/1995,6,,Minnesota Vikings / 5th / 157th pick / 2018,ConkTy00
17,Malachi Corley,22,WR,,,215,,Western Kentucky,3/21/2002,Rook,,New York Jets / 3rd / 65th pick / 2024,CorlMa00
21,Ashtyn Davis,28,S,,,202,6-1,California,10/10/1996,4,,New York Jets / 3rd / 68th pick / 2020,DaviAs00
32,Isaiah Davis,22,RB,,,220,6-1,South Dakota St.,2/21/2002,Rook,,New York Jets / 5th / 173rd pick / 2024,DaviIs00
26,Brandin Echols,27,CB,,,179,5-10,Northwest Mississippi CCKentucky,10/16/1997,3,,New York Jets / 6th / 200th pick / 2021,EchoBr00
74,Olumuyiwa Fashanu,22,OL,,,312,,Penn St.,12/9/2002,Rook,,New York Jets / 1st / 11th pick / 2024,FashOl00
1,Sauce Gardner,24,CB,,,190,6-3,Cincinnati,8/31/2000,2,,New York Jets / 1st / 4th pick / 2022,GardSa00
82,Xavier Gipson,23,WR,,,189,,S.F. Austin,3/8/2001,1,,,GipsXa00
20,Breece Hall,23,RB,,,217,5-11,Iowa St.,5/31/2001,2,,New York Jets / 2nd / 36th pick / 2022,HallBr03
42,Thomas Hennessy,30,LS,,,246,6-2,Duke,6/11/1994,7,,,HennTh00
11,Jermaine Johnson II,25,LB,,,254,6-5,Independence (KS)GeorgiaFlorida St.,1/7/1999,2,,New York Jets / 1st / 26th pick / 2022,JohnJe07
54,Javon Kinlaw,27,DT,,,319,6-5,South Carolina,10/3/1997,4,,San Francisco 49ers / 1st / 14th pick / 2020,KinlJa00
10,Allen Lazard,29,WR,,,227,6-5,Iowa St.,12/11/1995,6,,,LazaAl00
99,Will McDonald,25,DE,,,236,6-4,Iowa St.,6/4/1999,1,,New York Jets / 1st / 15th pick / 2023,McDoWi00
91,Braiden McGregor,,DE,,,267,6-6,Michigan,,Rook,,,McGrBr00
93,Takkarist McKinley,29,DL,,,250,6-2,UCLA,11/2/1995,7,,Atlanta Falcons / 1st / 26th pick / 2017,McKiTa00
61,Max Mitchell,25,OL,,,307,6-6,Louisiana,10/12/1999,2,,New York Jets / 4th / 111th pick / 2022,MitcMa02
6,Thomas Morstead,38,P,,,225,6-4,SMU,3/8/1986,15,,New Orleans Saints / 5th / 164th pick / 2009,MorsTh00
78,Morgan Moses,33,T,,,318,6-6,Virginia,3/3/1991,10,,Washington Redskins / 3rd / 66th pick / 2014,MoseMo00
57,C.J. Mosley,32,LB,,,231,6-2,Alabama,6/19/1992,10,,Baltimore Ravens / 1st / 17th pick / 2014,MoslC.00
65,Xavier Newman-Johnson,25,OL,,,297,6-2,Baylor,8/4/1999,2,,,NewmXa00
23,Isaiah Oliver,28,CB,,,202,6-0,Colorado,9/30/1996,6,,Atlanta Falcons / 2nd / 58th pick / 2018,OlivIs00
4,D.J. Reed,28,CB,,,188,5-9,Kansas St.,11/11/1996,6,,San Francisco 49ers / 5th / 142nd pick / 2018,ReedD.00
8,Aaron Rodgers,41,QB,,,223,6-2,Butte JC (CA)California,12/2/1983,19,,Green Bay Packers / 1st / 24th pick / 2005,RodgAa00
89,Jeremy Ruckert,24,TE,,,250,6-5,Ohio St.,8/11/2000,2,,New York Jets / 3rd / 101st pick / 2022,RuckJe00
71,Wes Schweitzer,31,OL,,,300,6-4,San Jose St.,9/11/1993,7,,Atlanta Falcons / 6th / 195th pick / 2016,SchwWe00
44,Jamien Sherwood,24,LB,,,216,6-2,Auburn,1/12/2000,3,,New York Jets / 5th / 146th pick / 2021,SherJa00
76,John Simpson,27,G,,,330,6-4,Clemson,8/19/1997,4,,Las Vegas Raiders / 4th / 109th pick / 2020,SimpJo00
77,Tyron Smith,34,T,,,320,6-5,USC,12/12/1990,13,,Dallas Cowboys / 1st / 9th pick / 2011,SmitTy00
37,Qwan'tez Stiggers,22,CB,,,197,,None,1/8/2002,Rook,,New York Jets / 5th / 176th pick / 2024,StigQw00
55,Chazz Surratt,27,LB,,,233,6-2,North Carolina,2/16/1997,3,,Minnesota Vikings / 3rd / 78th pick / 2021,SurrCh00
96,Leonard Taylor,25,DL,,,305,6-3,Cincinnati,8/26/1999,Rook,,,TaylLe01
2,Tyrod Taylor,35,QB,,,217,6-1,Virginia Tech,8/3/1989,13,,Baltimore Ravens / 6th / 180th pick / 2011,TaylTy00
94,Solomon Thomas,29,DL,,,295,6-3,Stanford,12/20/1995,7,,San Francisco 49ers / 1st / 3rd pick / 2017,ThomSo00
66,Joe Tippmann,23,C,,,313,,Wisconsin,3/24/2001,1,,New York Jets / 2nd / 43rd pick / 2023,TippJo00
75,Alijah Vera-Tucker,25,G,,,308,6-5,USC,6/17/1999,3,,New York Jets / 1st / 14th pick / 2021,VeraAl00
67,Carter Warren,25,T,,,311,,Pittsburgh,1/19/1999,1,,New York Jets / 4th / 120th pick / 2023,WarrCa00
58,Eric Watts,,DL,,,277,6-5,Connecticut,,Rook,,,WattEr00
18,Mike Williams,30,WR,,,218,6-4,Clemson,10/4/1994,7,,Los Angeles Chargers / 1st / 7th pick / 2017,WillMi07
56,Quincy Williams,28,LB,,,230,5-11,Murray St.,8/28/1996,5,,Jacksonville Jaguars / 3rd / 98th pick / 2019,WillQu01
95,Quinnen Williams,27,DL,,,303,6-3,Alabama,12/21/1997,5,,New York Jets / 1st / 3rd pick / 2019,WillQu00
5,Garrett Wilson,24,WR,,,183,6-0,Ohio St.,7/22/2000,2,,New York Jets / 1st / 10th pick / 2022,WilsGa00
9,Greg Zuerlein,37,K,,,195,6-0,Nebraska-OmahaMissouri Western St.,12/27/1987,12,,St. Louis Rams / 6th / 171st pick / 2012,ZuerGr00
7,Haason Reddick (NON),30,LB,,,240,6-1,Temple,9/22/1994,7,,Arizona Cardinals / 1st / 13th pick / 2017,ReddHa00
3,Jordan Travis (NON),24,QB,,,200,,LouisvilleFlorida St.,5/2/2000,Rook,,New York Jets / 5th / 171st pick / 2024,TravJo00
45,Jimmy Ciarlo (IR),23,LB,,,225,6-2,Army,2/28/2001,Rook,,,CiarJi00
